RBD;HH_A;HH_UTP;HH_PDIR;HH_DIR;HH_OES;HH_OF;HH_JUTP;HH_IG;HH_OR;HH_DIR_SOST;HH_TP_SOST;HH_SUP_SOST;HH_SUBDIR;HH_PROF_ENC;HH_EDUC_TRAD;HH_TOT
252;356;0;0;44;0;0;0;0;0;0;0;0;0;0;0;400
253;1696;0;0;44;0;0;88;44;44;0;0;0;0;0;0;1916
254;1249;0;42;44;0;0;84;0;0;0;0;0;0;0;0;1419
255;1435;0;44;44;44;0;44;44;44;0;0;0;0;0;0;1699
256;2853;0;296;44;0;0;0;0;0;0;0;0;0;0;0;3193
257;2908;0;132;44;264;0;0;0;0;0;0;0;0;0;0;3348
259;30;0;0;44;0;0;0;0;0;0;0;0;0;0;0;74
261;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;7
262;196;0;0;44;0;0;0;0;0;0;0;0;0;0;0;240
265;194;0;0;44;0;0;44;0;0;0;0;0;0;0;0;282
268;176;0;0;0;0;0;0;0;0;0;0;0;0;44;0;220
269;1886;30;0;44;0;0;44;44;44;0;44;0;0;0;0;2136
270;946;0;44;44;44;0;44;44;44;0;0;0;0;0;0;1210
271;9;0;0;0;0;0;0;0;0;0;0;0;0;44;0;53
273;66;0;0;0;0;0;0;0;0;0;0;0;0;44;0;110
274;125;0;0;0;0;0;0;0;0;0;0;0;0;44;0;169
275;3;0;0;0;0;0;0;0;0;0;0;0;0;44;0;47
276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
277;167;0;0;0;0;0;0;0;0;0;0;0;0;44;0;211
279;3146;176;88;44;192;0;44;220;44;0;0;0;0;0;0;3954
280;2611;132;0;44;362;0;44;264;132;0;0;0;0;0;0;3589
282;83;0;0;1;0;0;0;0;0;0;0;0;0;0;0;84
283;2727;220;0;44;272;0;44;220;176;0;0;0;44;0;0;3747
284;2011;74;44;44;223;0;88;264;132;0;0;0;0;0;0;2880
285;2624;44;0;44;308;0;88;176;132;0;0;0;0;0;0;3416
286;1673;176;0;44;253;0;44;176;88;0;0;0;0;0;0;2454
287;2416;88;0;44;148;0;44;132;88;0;0;0;0;0;0;2960
288;1934;88;0;44;88;0;44;132;44;0;0;0;0;0;0;2374
289;1315;0;0;44;88;0;44;44;44;0;44;0;0;0;0;1623
291;2011;44;0;44;163;0;44;132;44;0;0;0;0;0;0;2482
292;1396;44;0;44;76;44;88;88;44;0;0;0;0;0;0;1824
293;2290;88;0;44;88;0;44;132;44;0;0;0;0;0;0;2730
294;1472;44;0;44;132;0;44;88;88;0;0;0;0;0;0;1912
296;1235;176;0;44;88;0;0;44;44;0;0;0;0;0;0;1631
297;1257;132;0;44;44;0;44;44;44;0;0;0;0;0;0;1609
298;1428;30;44;44;74;0;44;0;44;0;0;0;0;0;0;1708
299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;1238;44;0;44;44;0;44;88;44;0;0;0;0;0;0;1546
302;1089;88;0;44;88;0;44;44;44;0;0;0;0;0;0;1441
303;1103;44;88;44;132;0;44;44;44;0;0;0;0;0;0;1543
304;2963;44;44;44;419;0;88;132;176;0;0;0;0;0;0;3910
305;1838;44;0;44;176;0;44;88;88;0;0;0;0;0;0;2322
306;699;44;0;44;44;0;44;44;44;0;0;0;0;0;0;963
307;389;0;0;44;76;0;44;0;0;0;0;0;0;0;0;553
308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
310;1056;0;0;44;88;0;44;44;44;0;0;0;0;0;0;1320
311;961;88;44;44;132;0;0;0;44;0;0;0;0;0;0;1313
312;1249;44;0;44;81;44;44;88;44;0;0;0;44;0;0;1682
313;2017;0;0;44;88;0;44;132;88;0;0;0;0;0;0;2413
315;1051;88;0;44;130;0;44;88;44;0;0;0;0;0;0;1489
316;853;0;0;44;132;0;44;44;44;0;0;0;0;0;0;1161
317;1770;0;88;44;0;0;44;74;44;0;88;0;0;0;0;2152
318;626;44;0;44;88;0;0;0;44;0;0;0;0;0;0;846
319;1747;0;0;44;176;0;88;176;88;0;0;0;0;0;0;2319
320;2457;132;132;44;125;0;88;44;132;0;0;0;44;0;0;3198
321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
322;1102;0;0;44;0;0;44;88;44;0;44;0;0;0;41;1407
324;1177;0;0;44;132;0;44;88;44;0;0;0;0;0;0;1529
326;1193;82;0;44;88;0;44;88;44;0;0;0;0;0;0;1583
327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
329;1247;88;0;44;159;0;88;132;44;0;0;0;0;0;0;1802
330;294;0;0;44;88;0;44;0;0;0;0;0;0;0;0;470
332;974;44;0;44;112;0;44;88;44;0;0;0;0;0;0;1350
333;389;0;0;44;88;0;44;0;0;0;0;0;0;0;0;565
335;707;0;30;44;0;0;40;0;0;0;33;0;0;0;0;854
336;1734;35;44;44;88;0;0;44;44;0;0;0;0;0;0;2033
337;1356;0;0;44;0;0;44;0;44;0;0;0;44;0;0;1532
340;415;0;0;44;0;0;44;0;0;0;0;0;0;0;0;503
341;1314;44;0;44;88;0;88;44;76;0;0;0;0;0;38;1736
342;1703;162;0;44;264;0;44;44;85;0;0;0;0;0;0;2346
343;757;0;0;44;0;0;44;0;0;0;0;0;44;0;0;889
344;1076;0;0;44;32;0;44;33;44;0;0;44;44;0;0;1361
349;118;0;44;44;0;0;0;0;0;0;0;0;0;0;0;206
350;1108;30;44;44;32;0;44;44;44;0;0;0;0;0;0;1390
352;27;6;0;9;0;0;0;0;0;0;0;0;0;0;0;42
353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
354;251;0;0;44;0;0;0;0;0;0;0;0;0;0;0;295
355;1003;44;44;44;153;0;44;0;0;0;0;0;0;0;0;1332
356;1659;44;44;44;30;0;44;88;44;0;0;0;0;0;0;1997
357;2212;40;156;44;40;0;0;0;106;0;40;0;0;0;0;2638
358;1525;0;44;44;0;0;0;0;0;0;44;0;0;0;0;1657
361;2872;0;264;44;44;0;0;44;0;0;0;0;0;0;0;3268
363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
364;1441;0;264;44;42;0;0;0;0;0;0;0;0;0;0;1791
365;1459;44;0;44;25;0;43;44;0;0;0;0;0;0;0;1659
366;2178;0;120;40;36;0;0;0;0;0;0;0;0;0;0;2374
367;2164;88;42;44;0;0;44;44;44;0;0;0;0;0;0;2470
368;1674;44;44;44;0;0;44;44;44;0;0;0;0;0;0;1938
369;44;0;0;0;14;0;0;0;0;0;0;0;0;44;0;102
370;530;0;0;44;0;0;0;0;0;0;0;0;0;0;0;574
371;562;44;44;44;44;0;0;0;0;0;0;0;0;0;38;776
372;1078;88;0;44;123;0;44;44;44;0;0;0;0;0;0;1465
373;1099;44;0;44;124;0;44;44;44;0;0;0;0;0;0;1443
374;1144;88;0;44;0;0;44;44;44;0;0;0;0;0;0;1408
375;988;44;0;44;170;0;44;44;0;0;0;0;0;0;0;1334
377;228;0;0;0;0;0;0;0;0;0;0;0;0;44;44;316
378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
379;1520;117;88;44;88;0;44;0;0;0;0;0;0;0;0;1901
380;790;0;0;44;44;0;44;88;0;0;0;0;0;0;0;1010
381;437;0;0;44;124;0;44;0;0;0;0;0;0;0;0;649
382;611;41;88;44;0;0;0;0;0;0;0;0;0;0;0;784
383;353;0;0;44;35;0;44;0;0;0;0;0;44;0;0;520
384;1407;88;0;44;0;0;44;44;44;0;0;0;0;0;0;1671
385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
386;1489;44;0;44;3;0;44;44;0;0;0;0;0;0;0;1668
387;111;0;0;0;0;0;0;0;0;0;0;0;0;44;0;155
388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390;1784;0;0;44;132;0;0;44;0;0;0;0;0;0;44;2048
391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
392;1956;44;88;44;0;0;0;44;44;0;0;0;0;0;0;2220
396;1922;44;44;44;176;0;0;44;44;0;44;0;0;0;0;2362
397;336;0;0;44;0;0;44;0;0;0;0;0;0;0;0;424
399;2122;0;132;44;88;0;44;44;44;0;0;0;0;0;0;2518
400;2190;0;0;44;88;0;44;88;44;0;0;0;0;0;0;2498
401;1459;20;0;44;176;0;44;44;0;0;44;0;44;0;0;1875
402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
403;1628;0;0;44;198;44;44;44;0;0;0;0;44;0;0;2046
404;937;44;0;44;0;0;0;44;0;0;0;0;0;0;0;1069
405;1230;0;0;44;132;0;44;44;44;0;44;0;0;0;35;1617
406;1445;0;0;44;88;0;44;44;40;0;0;0;0;0;0;1705
407;1127;0;44;44;44;0;44;44;0;0;0;0;0;0;0;1347
408;2400;0;0;44;44;0;44;44;0;0;0;0;44;0;0;2620
410;970;0;0;44;110;0;44;44;0;0;0;0;44;0;0;1256
411;1372;0;0;44;182;0;44;44;0;0;0;0;44;0;0;1730
413;785;0;0;44;88;44;0;0;0;0;0;0;44;0;0;1005
415;2541;0;44;44;44;0;88;44;0;0;0;0;0;0;0;2805
416;1136;0;0;44;169;0;44;44;0;0;0;0;0;0;0;1437
417;1671;88;88;44;246;0;44;0;0;0;0;0;0;0;0;2181
418;2261;0;88;44;304;40;44;0;0;0;0;0;0;0;0;2781
419;1893;0;0;44;250;0;44;44;0;0;0;0;0;0;0;2275
420;1728;0;44;44;44;0;44;44;0;0;0;0;0;0;0;1948
421;1776;0;44;44;44;0;44;44;0;0;0;0;44;0;0;2040
423;704;44;0;44;88;0;44;44;0;0;0;0;0;0;0;968
427;855;44;0;44;0;0;44;44;0;0;44;0;0;0;0;1075
429;3324;172;88;44;0;0;0;88;44;0;0;0;0;0;0;3760
430;1529;0;132;44;107;0;132;88;88;0;0;0;0;0;0;2120
431;2076;88;0;44;161;0;44;0;84;0;0;0;0;0;0;2497
433;1386;88;0;44;227;0;44;88;44;0;0;0;0;0;0;1921
434;1086;0;0;44;60;0;35;40;35;0;35;0;0;0;0;1335
435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
437;1859;10;0;44;288;7;44;88;44;0;0;0;44;0;0;2428
438;1223;0;0;44;88;0;44;0;44;0;44;0;0;0;0;1487
439;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
440;1766;88;0;44;67;0;44;88;0;0;0;0;0;0;0;2097
441;1100;0;0;44;44;0;44;44;0;0;0;0;44;0;0;1320
442;774;0;0;44;170;0;44;44;0;0;0;0;44;0;0;1120
444;1069;0;0;44;79;0;44;44;0;0;0;0;0;0;0;1280
445;132;0;0;44;0;0;0;0;0;0;0;0;0;0;0;176
446;47;0;0;44;0;0;0;0;0;0;0;0;0;0;44;135
447;2;0;0;0;0;0;0;0;0;0;0;0;0;44;0;46
448;1603;132;88;44;44;0;0;0;44;0;44;0;0;0;0;1999
449;1998;0;0;44;308;0;44;88;0;0;0;0;0;0;0;2482
450;714;0;44;44;113;0;44;44;0;0;0;0;0;0;0;1003
452;799;0;88;44;44;0;0;0;0;0;0;0;0;0;0;975
453;1221;132;0;44;44;0;44;44;0;0;0;0;0;0;88;1617
454;1747;88;0;44;192;0;44;44;0;0;0;0;0;0;0;2159
455;472;0;0;44;206;0;44;44;0;0;0;0;0;0;0;810
456;515;0;0;44;0;0;44;0;0;0;0;0;0;0;0;603
458;985;0;0;44;0;0;0;44;0;0;44;0;0;0;44;1161
459;1226;0;44;44;44;0;44;44;44;0;0;0;0;0;0;1490
461;994;0;0;44;30;0;44;44;44;0;0;0;0;0;0;1200
462;857;0;44;44;132;0;44;44;0;0;0;0;0;0;0;1165
463;646;0;44;44;0;0;0;44;0;0;44;0;0;0;0;822
464;1106;44;0;44;176;0;44;44;0;0;0;0;0;0;0;1458
466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
467;44;0;0;0;0;0;0;0;0;0;0;0;0;44;0;88
468;58;0;0;0;0;0;0;0;0;0;0;0;0;44;0;102
469;140;0;0;0;0;0;0;0;0;0;0;0;0;44;0;184
471;95;0;0;0;0;0;0;0;0;0;0;0;0;44;0;139
472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
476;166;0;0;0;8;0;0;0;0;0;0;0;0;44;0;218
477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
478;1824;44;0;44;80;0;88;44;44;0;0;0;40;0;0;2208
479;1133;44;44;44;0;0;44;44;88;0;44;0;0;0;0;1485
480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
481;1168;0;0;44;118;0;44;44;0;0;0;0;0;0;0;1418
482;44;0;0;0;0;0;0;0;0;0;0;0;0;44;0;88
483;52;0;0;0;0;0;0;0;0;0;0;0;0;44;0;96
484;136;0;0;0;28;0;0;0;0;0;0;0;0;44;0;208
485;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
486;1164;44;0;44;80;0;44;44;44;0;0;0;0;0;0;1464
487;1046;0;0;44;192;0;44;44;0;0;0;0;0;0;0;1370
489;729;0;0;44;241;0;44;44;0;0;0;0;0;0;0;1102
490;13;0;0;0;0;0;0;0;0;0;0;0;0;44;0;57
492;491;35;0;44;30;0;35;0;0;0;0;0;0;0;0;635
493;550;0;0;44;176;0;44;0;0;0;0;0;0;0;0;814
495;0;0;0;0;11;0;0;0;0;0;0;0;0;44;0;55
496;0;0;0;0;22;0;0;0;0;0;0;0;0;44;0;66
