,RBD,COD_REG_RBD,COD_COM_RBD,COD_DEPE2_Particular_Pagado,COD_DEPE2_Particular_Subvencionado,COD_DEPE2_Municipal,COD_DEPE2_Corporacion_Municipal,RURAL_RBD,COD_ENSE2,PROM_ASIS,GRADO,Matricula,Cant_Est_NEE,Cant_Est_Media_HC,Cant_Est_Media_TP,HH_DOCENTES,HH_PROF,HH_PARA,HH_AUX,HH_TOT_AAEE,PROM_GRAL,SEP,CD2018,APR,REP,RET,TRA
3663,0.495600375698255,0.5333333333333333,0.533412259931597,0,0,1,0,0,7,0.9292929292929294,Media,0.0650436046511628,0.0,0.023878437047756874,0.06617257808364214,0.12997746055597298,0.05478180129990715,0.10401344820340408,0.10250972074938142,0.14856860809476802,0.7639235149215832,0.13856740694401,2,0.01069110347460863,0.01098901098901099,0.02702702702702703,0.008547008547008548
3664,0.49614414948835833,0.5333333333333333,0.5273612207313866,0,0,1,0,0,2,0.9292929292929294,Basica,0.10247093023255814,0.0,0.0,0.0,0.11545204107187579,0.04688950789229341,0.06808152973313722,0.14033227288794628,0.13524185587364265,0.8919430135222152,0.06162026900218956,3,0.11492936235204276,0.016483516483516484,0.02702702702702703,0.02849002849002849
3665,0.49614414948835833,0.5333333333333333,0.5273612207313866,0,0,1,0,0,5,0.9292929292929294,Media,0.041061046511627904,0.0,0.04522431259044862,0.0,0.05484598046581518,0.04688950789229341,0.06808152973313722,0.14033227288794628,0.13524185587364265,0.8464243524623752,0.06162026900218956,3,0.04505536464299351,0.02197802197802198,0.013513513513513514,0.014245014245014245
3666,0.4962924514311138,0.5333333333333333,0.5272296764009472,0,0,1,0,1,2,0.9292929292929294,Basica,0.015988372093023256,0.0,0.0,0.0,0.0035061357375406974,0.014856081708449397,0.016810254255095608,0.014139271827500884,0.025008226390259954,0.8569173621872982,0.019080387863622147,4,0.021000381825124093,0.01098901098901099,0.0,0.0
3667,0.4965643383261654,0.5333333333333333,0.5261773217574324,0,1,0,0,0,2,0.9292929292929294,Basica,0.19331395348837208,0.0,0.0,0.0,0.10994239919859755,0.0,0.0,0.0,0.0,0.9226885560464307,0.0,3,0.20656739213440245,0.016483516483516484,0.02702702702702703,0.06267806267806268
3668,0.4972811310494834,0.5333333333333333,0.5268350434096291,0,0,1,0,0,2,0.9292929292929294,Basica,0.07594476744186048,0.0,0.0,0.0,0.07513148009015778,0.06778087279480037,0.06934229880226939,0.042417815482502653,0.09805857189865087,0.8474091953640267,0.07882389740381608,3,0.08247422680412371,0.01098901098901099,0.0,0.07977207977207977
3669,0.49770131988729055,0.5333333333333333,0.5261773217574324,0,0,1,0,0,5,0.9292929292929294,Media,0.0962936046511628,0.0,0.10021707670043414,0.0,0.06060606060606061,0.04178272980501393,0.06619037612943895,0.11134676564156946,0.11846001974333663,0.8267035604447067,0.0882076947137942,4,0.09851088201603667,0.08241758241758243,0.06756756756756757,0.014245014245014245
3670,0.49777547085866825,0.5333333333333333,0.5261773217574324,0,0,1,0,0,2,0.9292929292929294,Basica,0.0534156976744186,0.0,0.0,0.0,0.09867267718507389,0.030176415970287838,0.058205505358268544,0.04065040650406504,0.07518920697597894,0.8986839755564234,0.05536440412887082,3,0.060328369606720125,0.0,0.02702702702702703,0.03133903133903134
3671,0.4978990558109645,0.5333333333333333,0.526243093922652,0,0,1,0,1,2,0.9292929292929294,Basica,0.015988372093023256,0.0,0.0,0.0,0.037315301778111695,0.028319405756731662,0.07795755410800588,0.02545068928950159,0.08292201382033564,0.8441250672943957,0.02158273381294964,2,0.021764032073310426,0.02197802197802198,0.013513513513513514,0.025641025641025644
3672,0.49824509367739384,0.5333333333333333,0.5261773217574324,0,0,1,0,0,5,0.9292929292929294,Media,0.25690406976744184,0.0,0.26013024602026047,0.0,0.24593037816178312,0.25069637883008355,0.12754780416053793,0.10180275715800637,0.23609740046067784,0.7668344333029019,0.0,3,0.2458953799159985,0.3351648351648352,0.04054054054054054,0.05128205128205129
3673,0.4983686786296901,0.5333333333333333,0.5269665877400684,0,0,1,0,0,7,0.9292929292929294,Media,0.04251453488372093,0.0,0.0,0.06829010058231869,0.07362885048835462,0.04178272980501393,0.10422357638159277,0.03181336161187699,0.11122079631457717,0.7307251126404402,0.054113231154207075,3,0.04505536464299351,0.07142857142857144,0.08108108108108109,0.011396011396011397
3674,0.49925849028622277,0.5333333333333333,0.5265061825835307,0,0,0,1,0,2,0.9292929292929294,Basica,0.09665697674418605,0.0,0.0,0.0,0.17180065113949414,0.09006499535747446,0.07984870771170413,0.176033934252386,0.1763738071734123,0.8889306605103456,0.10322177040975916,2,0.10729285987017946,0.01098901098901099,0.0,0.039886039886039885
3675,0.4997033961144891,0.5333333333333333,0.5261773217574324,0,0,1,0,0,2,0.9292929292929294,Basica,0.060683139534883725,0.0,0.0,0.0,0.08615076383671426,0.0,0.025635637739020802,0.02368328031106398,0.031095755182625865,0.8671099794535811,0.0,2,0.06758304696449027,0.02197802197802198,0.013513513513513514,0.042735042735042736
3676,0.5014830194275545,0.5333333333333333,0.5270323599052882,0,0,1,0,0,2,0.9292929292929294,Basica,0.15588662790697674,0.0,0.0,0.0,0.15552216378662662,0.04921077065923862,0.08636268123555368,0.09544008483563098,0.1294833826916749,0.7957006096551676,0.19987488270253365,3,0.15578465063001146,0.18131868131868134,0.0,0.11111111111111112
3677,0.5033120767215384,0.33333333333333337,0.3288608260983952,0,0,1,0,0,2,0.9292929292929294,Basica,0.2558139534883721,0.0,0.0,0.0,0.12496869521662911,0.27158774373259054,0.12292498424038663,0.12725344644750797,0.25172754195459035,0.868644660632714,0.27901157335001564,2,0.26651393661702943,0.038461538461538464,0.05405405405405406,0.045584045584045586
3678,0.5453556774927085,0.6,0.5985267034990792,0,0,1,0,0,2,0.9292929292929294,Basica,0.2754360465116279,0.0,0.0,0.0,0.2073628850488355,0.18848653667595172,0.20067241017020382,0.0,0.22392234287594603,0.8662653918112561,0.10322177040975916,3,0.2829324169530355,0.15934065934065936,0.0,0.05698005698005698
3679,0.5461466211874042,0.8666666666666667,0.8552354643514866,0,0,1,0,1,7,0.9292929292929294,Media,0.043968023255813955,0.0,0.0,0.07040762308099524,0.06987227648384674,0.0,0.0472788400924564,0.06362672322375398,0.06663376110562685,0.7880938982916424,0.04097591492023772,1,0.03245513554791905,0.0,0.13513513513513514,0.03133903133903134
