RBD;Nombre Establecimiento;Región;Comuna;Dependencia;Matrícula Media 2017;Categoría Desempeño 2018
15719;COLEGIO FRAY ANDRES;de O’Higgins;RANCAGUA;P. Subvencionado;88;MEDIO
15724;ESCUELA FERNANDA AEDO FAUNDEZ;de O’Higgins;RENGO;Municipal;457;MEDIO
15726;COLEGIO SAN SEBASTIAN SCHOOL;de O’Higgins;RANCAGUA;P. Subvencionado;643;MEDIO-BAJO
15728;COLEGIO MUNICIPAL HUALLILEN;de O’Higgins;COINCO;Municipal;218;MEDIO
15731;COLEGIO ESPANA;de O’Higgins;SAN VICENTE;P. Subvencionado;234;MEDIO
15732;COLEGIO CRISTIANO ADONAY;de O’Higgins;RANCAGUA;P. Subvencionado;315;ALTO
15739;COLEGIO CHIMBARONGO;de O’Higgins;CHIMBARONGO;P. Subvencionado;456;MEDIO-BAJO
15744;COLEGIO ALMENAR;de O’Higgins;SAN VICENTE;P. Subvencionado;356;MEDIO
15745;COLEGIO VALLE DE COLCHAGUA;de O’Higgins;SAN FERNANDO;P. Subvencionado;474;MEDIO
15746;MONTE CASTELLO;de O’Higgins;RANCAGUA;P. Subvencionado;156;MEDIO-BAJO
15750;COLEGIO LAS AMERICAS;de O’Higgins;RANCAGUA;P. Subvencionado;380;MEDIO
15753;COLEGIO BENJAMIN VICUÑA MACKENNA;de O’Higgins;RANCAGUA;Municipal;225;MEDIO-BAJO
15755;COLEGIO SAN NICOLAS;de O’Higgins;CHIMBARONGO;P. Subvencionado;343;MEDIO-BAJO
15757;COLEGIO PART. SUBV. SAN ESTEBAN;de O’Higgins;SAN FERNANDO;P. Subvencionado;235;INSUFICIENTE
15758;COLEGIO CHRISTIAN COLLEGE;de O’Higgins;SAN FERNANDO;P. Subvencionado;223;MEDIO
15762;COLEGIO MARÍA ESCOBILLANA GUZMÁN;de O’Higgins;GRANEROS;Municipal;261;MEDIO-BAJO
15764;ELENA GAETE DARBEAUX;de O’Higgins;PICHIDEGUA;P. Subvencionado;179;ALTO
15767;COLEGIO DIEGO PORTALES;de O’Higgins;MACHALI;P. Subvencionado;309;MEDIO-BAJO
15768;COLEGIO SANTA FILOMENA;de O’Higgins;RANCAGUA;Municipal;256;MEDIO
15770;ESCUELA DIVINO MAESTRO;de O’Higgins;PICHILEMU;Municipal;289;MEDIO
15779;COLEGIO HERMANO DE ASIS;de O’Higgins;SAN FERNANDO;P. Subvencionado;208;MEDIO
15787;COMPLEJO EDUCACIONAL LAS ARAUCARIAS;de O’Higgins;SAN FERNANDO;P. Subvencionado;630;MEDIO
15792;COLEGIO REAL DE CAREN;de O’Higgins;MACHALI;P. Subvencionado;271;MEDIO-BAJO
15793;COLEGIO INTERAMERICANO;de O’Higgins;RANCAGUA;P. Subvencionado;405;MEDIO
15807;COLEGIO ALERCE;de O’Higgins;CHIMBARONGO;P. Subvencionado;230;MEDIO
15809;OLIVAR COLLEGE;de O’Higgins;OLIVAR;P. Subvencionado;348;MEDIO
15811;COLEGIO ANGOSTURA;de O’Higgins;SAN FERNANDO;P. Subvencionado;236;MEDIO
15812;COLEGIO BASICO VIOLETA PARRA SANDOVAL;de O’Higgins;PERALILLO;Municipal;358;MEDIO
15817;COLEGIO NAHUELCURA;de O’Higgins;MACHALI;P. Subvencionado;773;MEDIO
