RBD;GRADO;CD2018
7536;Media;MEDIO
7542;Media;MEDIO
7544;Media;MEDIO-BAJO
7572;Media;MEDIO
7578;Media;MEDIO
7614;Media;MEDIO
7625;Media;INSUFICIENTE
7626;Media;MEDIO-BAJO
7627;Media;MEDIO
7628;Media;MEDIO
7629;Media;MEDIO-BAJO
7639;Media;MEDIO
7650;Media;MEDIO-BAJO
7651;Media;MEDIO-BAJO
7699;Media;MEDIO
7700;Media;MEDIO
7701;Media;ALTO
7705;Media;ALTO
7706;Media;MEDIO
7707;Media;ALTO
7709;Media;ALTO
7717;Media;ALTO
7718;Media;ALTO
7720;Media;MEDIO-BAJO
7722;Media;MEDIO
7724;Media;MEDIO-BAJO (NUEVO)
7742;Media;ALTO
7743;Media;ALTO
7744;Media;ALTO
7753;Media;MEDIO
7772;Media;MEDIO
7773;Media;ALTO
7775;Media;MEDIO
7776;Media;MEDIO
7826;Media;MEDIO
7830;Media;MEDIO-BAJO
7872;Media;MEDIO
7907;Media;MEDIO
7941;Media;MEDIO-BAJO
7942;Media;MEDIO
7956;Media;MEDIO-BAJO
7973;Media;MEDIO
7989;Media;ALTO
8000;Media;MEDIO
8001;Media;MEDIO
8002;Media;MEDIO
8044;Media;MEDIO-BAJO
8105;Media;MEDIO
8108;Media;MEDIO
8109;Media;MEDIO
8111;Media;MEDIO-BAJO
8162;Media;MEDIO
8174;Media;MEDIO
8194;Media;MEDIO
8206;Media;MEDIO
8255;Media;MEDIO
8309;Media;MEDIO
8310;Media;MEDIO
8331;Media;MEDIO
8339;Media;MEDIO
8345;Media;MEDIO-BAJO
8352;Media;MEDIO
8365;Media;MEDIO
8367;Media;MEDIO
8369;Media;MEDIO
8375;Media;MEDIO-BAJO
8380;Media;SIN CATEGORIA: BAJA MATRICULA
8391;Media;MEDIO
8392;Media;MEDIO
8394;Media;MEDIO
8403;Media;MEDIO
8411;Media;INSUFICIENTE
8421;Media;MEDIO
8422;Media;MEDIO
8424;Media;MEDIO
8425;Media;INSUFICIENTE
8427;Media;INSUFICIENTE
8429;Media;MEDIO-BAJO
8430;Media;INSUFICIENTE
8442;Media;SIN CATEGORIA: BAJA MATRICULA
